Identifier,ISIN,Issuer,Currency,Coupon,Maturity,Frequency,Special_Coupon_Type
oracle_corpdl-notes_201616-26-Bond-2026-us68389xbm65,US68389XBM65,Oracle Corp.,USD,2.650%,7/15/2026,2.0,
oracle_corpdl-notes_201717-27-Bond-2027-us68389xbn49,US68389XBN49,Oracle Corp.,USD,3.250%,11/15/2027,2.0,
oracle_corpdl-notes_202020-27-Bond-2027-us68389xbu81,US68389XBU81,Oracle Corp.,USD,2.800%,4/1/2027,2.0,
oracle_corpdl-notes_201515-30-Bond-2030-us68389xbd66,US68389XBD66,Oracle Corp.,USD,3.250%,5/15/2030,2.0,
oracle_corpdl-notes_201313-23-Bond-2023-us68389xas45,US68389XAS45,Oracle Corp.,USD,3.625%,7/15/2023,2.0,
oracle_corpdl-notes_201515-25-Bond-2025-us68389xbc83,US68389XBC83,Oracle Corp.,USD,2.950%,5/15/2025,2.0,
oracle_corpdl-notes_201717-24-Bond-2024-us68389xbs36,US68389XBS36,Oracle Corp.,USD,2.950%,11/15/2024,2.0,
oracle_corpdl-notes_202020-25-Bond-2025-us68389xbt19,US68389XBT19,Oracle Corp.,USD,2.500%,4/1/2025,2.0,
orbia_advance_corp_sab_de_cv-Bond-2027-us59284baf58,US59284BAF58,Orbia Advance Corporation S.A.B. de C.V.,,4.000%,10/4/2027,2.0,
orbia_advance_corp_sab_de_cv-Bond-2027-usp57908ag32,USP57908AG32,Orbia Advance Corporation S.A.B. de C.V.,USD,4.000%,10/4/2027,2.0,
otis_worldwide_corpdl-notes_202020-25_regs-Bond-2025-usu68356ad39,USU68356AD39,Otis Worldwide Corp.,USD,2.056%,4/5/2025,2.0,
oversea-chinese_bnkg_corpltddl-med-term_nts_201424regs-Bond-2024-us69033dac11,US69033DAC11,Oversea-Chinese Banking Corp. Ltd.,USD,4.250%,6/19/2024,2.0,
7_500-overseas-shipholding-group-Bond-2024-us690368ag06,US690368AG06,Overseas Shipholding Group Inc.,USD,7.500%,2/15/2024,2.0,suspended payment
owens_minor_incdl-notes_201414-24-Bond-2024-us690732ae23,US690732AE23,Owens & Minor Inc.,USD,4.375%,12/15/2024,2.0,
owens_corning_newdl-notes_202020-30-Bond-2030-us690742ak72,US690742AK72,Owens Corning [New],USD,3.875%,6/1/2030,2.0,
owens_corning_newdl-notes_201414-24-Bond-2024-us690742ae13,US690742AE13,Owens Corning [New],USD,4.200%,12/1/2024,2.0,
owens-brockway_glass_contincdl-notes_201523_regs-Bond-2023-usu68337ak75,USU68337AK75,Owens-Brockway Glass Container Inc.,USD,5.875%,8/15/2023,2.0,
owl_rock_capital_corpdl-notes_201919-25-Bond-2025-us69121kab08,US69121KAB08,Owl Rock Capital Corp.,USD,4.000%,3/30/2025,2.0,
pbf_holding_co_llc-fincorpdl-notes_201717-25_regs-Bond-2025-usu70453ac61,USU70453AC61,PBF Holding Co. LLC/PBF Finance Corp.,USD,7.250%,6/15/2025,2.0,additional coupon possible
peco_energy_codl-bonds_201515-25-Bond-2025-us693304at44,US693304AT44,PECO Energy Co.,USD,3.150%,10/15/2025,2.0,
8_625-pemex-project-funding-master-trust-Bond-2023-us706451bc43,US706451BC43,PEMEX Project Funding Master Trust,USD,8.625%,12/1/2023,2.0,
9_500-pemex-project-funding-master-trust-Bond-2027-us706451bd26,US706451BD26,PEMEX Project Funding Master Trust,,9.500%,9/15/2027,2.0,
petronas_capitaldl-notes_201525_regs-Bond-2025-usy68856an67,USY68856AN67,PETRONAS Capital Ltd.,USD,3.500%,3/18/2025,2.0,
petronas_capitaldl-notes_202030-30_regs-Bond-2030-usy68856at38,USY68856AT38,PETRONAS Capital Ltd.,USD,3.500%,4/21/2030,2.0,
pg_e_corpdl-notes_201414-24-Bond-2024-us694308hk65,US694308HK65,PG & E Corp.,USD,3.400%,8/15/2024,2.0,suspended payment
pg_e_corpdl-notes_201818-27-Bond-2027-us694308hw04,US694308HW04,PG & E Corp.,USD,3.300%,12/1/2027,2.0,suspended payment
pg_e_corpdl-notes_201313-23-Bond-2023-us694308he06,US694308HE06,PG & E Corp.,USD,3.850%,11/15/2023,2.0,suspended payment
pg_e_corpdl-notes_201515-25-Bond-2025-us694308hm22,US694308HM22,PG & E Corp.,USD,3.500%,6/15/2025,2.0,suspended payment
pg_e_corpdl-notes_202020-30-Bond-2030-us69331caj71,US69331CAJ71,PG & E Corp.,USD,5.250%,7/1/2030,2.0,
pg_e_corpdl-notes_201616-26-Bond-2026-us694308hp52,US694308HP52,PG & E Corp.,USD,2.950%,3/1/2026,2.0,suspended payment
pg_e_corpdl-notes_202020-28-Bond-2028-us69331cah16,US69331CAH16,PG & E Corp.,USD,5.000%,7/1/2028,2.0,
pg_e_corpdl-notes_201414-24-Bond-2024-us694308hg53,US694308HG53,PG & E Corp.,USD,3.750%,2/15/2024,2.0,suspended payment
pg_e_corpdl-notes_201717-27regs-Bond-2027-usu69430ae36,USU69430AE36,PG & E Corp.,USD,3.300%,12/1/2027,2.0,suspended payment
pme_capital_financieredl-bonds_201919-23-Bond-2023-li0486362366,LI0486362366,PME Capital Financiere AG,USD,4.750%,7/14/2023,1.0,
pnc_bank_nadl-medium-term_bk_nts1323-23-Bond-2023-us69349lam00,US69349LAM00,PNC Bank N.A.,USD,3.800%,7/25/2023,2.0,
pnc_bank_nadl-med-t_bk_nts_201525-25-Bond-2025-us69353req74,US69353REQ74,PNC Bank N.A.,USD,3.250%,6/1/2025,2.0,
pnc_bank_nadl-med-term_bk_nts_1325-25-Bond-2025-us69349laq14,US69349LAQ14,PNC Bank N.A.,USD,4.200%,11/1/2025,2.0,
pnc_bank_nadl-med-term_bk_nts_1828-Bond-2028-us69349lar96,US69349LAR96,PNC Bank N.A.,USD,4.050%,7/26/2028,2.0,
poscodl-notes_201924_regs-Bond-2024-usy70750bl04,USY70750BL04,POSCO,USD,2.750%,7/15/2024,2.0,
poscodl-notes_201823_regs-Bond-2023-usy70750bk21,USY70750BK21,POSCO,USD,4.000%,8/1/2023,2.0,
ppg_industries_incdl-notes_201818-28-Bond-2028-us693506bp19,US693506BP19,PPG Industries Inc.,USD,3.750%,3/15/2028,2.0,
ppl_capital_funding_incdl-notes_202020-30-Bond-2030-us69352paq63,US69352PAQ63,PPL Capital Funding Inc.,USD,4.125%,4/15/2030,2.0,
ppl_capital_funding_incdl-notes_201616-26-Bond-2026-us69352pal76,US69352PAL76,PPL Capital Funding Inc.,USD,3.100%,5/15/2026,2.0,
ppl_capital_funding_incdl-notes_201416-24-Bond-2024-us69352pak93,US69352PAK93,PPL Capital Funding Inc.,USD,3.950%,3/15/2024,2.0,
pq_corpdl-notes_201717-25_regs-Bond-2025-usu69495ad88,USU69495AD88,PQ Corp.,USD,5.750%,12/15/2025,2.0,
pseg_power_llcdl-notes_201313-23-Bond-2023-us69362bba98,US69362BBA98,PSEG Power LLC,USD,4.300%,11/15/2023,2.0,
pt_bank_mandiri_persero_tbk-Bond-2024-xs1978319108,XS1978319108,PT Bank Mandiri Taspen,USD,3.750%,4/11/2024,2.0,
pt_bank_mandiri_persero_tbk-Bond-2025-xs2169280919,XS2169280919,PT Bank Mandiri Taspen,USD,4.750%,5/13/2025,2.0,
pt_bank_tabungnegperstbkdl-notes_202025-Bond-2025-xs2099372802,XS2099372802,PT Bank Tabungan Negara [Persero] Tbk,USD,4.200%,1/23/2025,2.0,
pt_perusahaan_listrik_negaradl-med-term_nts_201727regs-Bond-2027-us71568qac15,US71568QAC15,PT Perusahaan Listrik Negara,USD,4.125%,5/15/2027,2.0,
pt_perusahaan_listrik_negaradl-med-term_nts_201828regs-Bond-2028-us71568qae70,US71568QAE70,PT Perusahaan Listrik Negara,USD,5.450%,5/21/2028,2.0,
pt_perusahaan_listrik_negaradl-med-term_nts_201929regs-Bond-2029-us71568qaj67,US71568QAJ67,PT Perusahaan Listrik Negara,USD,3.875%,7/17/2029,2.0,
pt_saka_energi_indonesiadl-notes_201724_regs-Bond-2024-usy7140vaa80,USY7140VAA80,PT Saka Energi Indonesia,USD,4.450%,5/5/2024,2.0,
7_750-pvh-Bond-2023-us718592ab40,US718592AB40,PVH Corp.,USD,7.750%,11/15/2023,2.0,
paccar_financial_corpdl-medium-term_notes_201823-Bond-2023-us69371rp591,US69371RP591,Paccar Financial Corp.,USD,3.400%,8/9/2023,2.0,
paccar_financial_corpdl-medium-term_notes_202025-Bond-2025-us69371rq664,US69371RQ664,Paccar Financial Corp.,USD,1.800%,2/6/2025,2.0,
pacificorpdl-bonds_201414-24-Bond-2024-us695114cr72,US695114CR72,PacifiCorp,USD,3.600%,4/1/2024,2.0,
pacific_gas_electric_companydl-notes_201818-28_144a-Bond-2028-us694308ja65,US694308JA65,Pacific Gas & Electric Company,,4.650%,8/1/2028,2.0,suspended payment
pacific_gas_electric_companydl-notes_201818-23_regs-Bond-2023-usu69430ag83,USU69430AG83,Pacific Gas & Electric Company,USD,4.250%,8/1/2023,2.0,suspended payment
pacific_gas_electric_companydl-notes_201818-28_regs-Bond-2028-usu69430ah66,USU69430AH66,Pacific Gas & Electric Company,USD,4.650%,8/1/2028,2.0,suspended payment
packaging_corp_of_americadl-notes_201717-27-Bond-2027-us695156at63,US695156AT63,Packaging Corp. of America,USD,3.400%,12/15/2027,2.0,
packaging_corp_of_americadl-notes_201313-23-Bond-2023-us695156aq25,US695156AQ25,Packaging Corp. of America,USD,4.500%,11/1/2023,2.0,
packaging_corp_of_americadl-notes_201414-24-Bond-2024-us695156ar08,US695156AR08,Packaging Corp. of America,USD,3.650%,9/15/2024,2.0,
7_950-pactiv-llc-Bond-2025-us880394ab71,US880394AB71,Pactiv LLC,USD,7.950%,12/15/2025,2.0,
pakistan-_republikdl-notes_201424_regs-Bond-2024-xs1056560920,XS1056560920,"Pakistan, Islamische Republik",USD,8.250%,4/15/2024,2.0,
pakistan-_republikdl-notes_201525-Bond-2025-xs1299811486,XS1299811486,"Pakistan, Islamische Republik",USD,8.250%,9/30/2025,2.0,
pakistan-_republikdl-notes_201727_regs-Bond-2027-xs1729875598,XS1729875598,"Pakistan, Islamische Republik",USD,6.875%,12/5/2027,2.0,
7_375-pampa-energia-Bond-2023-us71647xaa54,US71647XAA54,Pampa Energia S.A.,,7.375%,7/21/2023,2.0,
pampa_energia_sadl-notes_201717-27_144a-Bond-2027-us697660aa69,US697660AA69,Pampa Energia S.A.,,7.500%,1/24/2027,2.0,
pampa_energia_sadl-notes_201919-29_regs-Bond-2029-usp7464eab22,USP7464EAB22,Pampa Energia S.A.,USD,9.125%,4/15/2029,2.0,
pampa_energia_sadl-notes_201717-27_regs-Bond-2027-usp7464eaa49,USP7464EAA49,Pampa Energia S.A.,USD,7.500%,1/24/2027,2.0,
7_375-pampa-energia-Bond-2023-usp7873pae62,USP7873PAE62,Pampa Energia S.A.,USD,7.375%,7/21/2023,2.0,
panama-_republikdl-bonds_201723-Bond-2023-pal634445sa3,PAL634445SA3,"Panama, Republik",USD,3.000%,9/29/2023,2.0,
8_875-panama-republik-Bond-2027-us698299ad63,US698299AD63,"Panama, Republik",USD,8.875%,9/30/2027,2.0,
panama-_republikdl-bonds_201919-30-Bond-2030-us698299bk97,US698299BK97,"Panama, Republik",USD,3.160%,1/23/2030,2.0,
panama-_republikdl-bonds_201515-25-Bond-2025-us698299be38,US698299BE38,"Panama, Republik",USD,3.750%,3/16/2025,2.0,
panama-_republikdl-bonds_201414-24-Bond-2024-us698299bd54,US698299BD54,"Panama, Republik",USD,4.000%,9/22/2024,2.0,
panama-_republikdl-bonds_201616-28-Bond-2028-us698299bf03,US698299BF03,"Panama, Republik",USD,3.875%,3/17/2028,2.0,
9_375-panama-republik-Bond-2029-us698299ak07,US698299AK07,"Panama, Republik",USD,9.375%,4/1/2029,2.0,
panasonic_corpdl-notes_201919-29_regs-Bond-2029-usj6354yaq73,USJ6354YAQ73,Panasonic Corp.,USD,3.113%,7/19/2029,2.0,
panasonic_corpdl-notes_201919-24_regs-Bond-2024-usj6354yap90,USJ6354YAP90,Panasonic Corp.,USD,2.679%,7/19/2024,2.0,
par_petroleum_llc-fin_corpdl-notes_201717-25_regs-Bond-2025-usu7025waa00,USU7025WAA00,Par Petroleum LLC/Par Petroleum Finance Corp.,USD,7.750%,12/15/2025,2.0,
par_pharmaceutical_incdl-notes_201919-27_regs-Bond-2027-usu7024raa24,USU7024RAA24,Par Pharmaceutical Inc.,USD,7.500%,4/1/2027,2.0,
paraguay-_republikdl-bonds_201626_regs-Bond-2026-usp75744ad76,USP75744AD76,"Paraguay, Republik",USD,5.000%,4/15/2026,2.0,
paraguay-_republikdl-bonds_201727_regs-Bond-2027-usp75744ae59,USP75744AE59,"Paraguay, Republik",USD,4.700%,3/27/2027,2.0,
parker-hannifin_corpdl-med-term_nts_201414-24-Bond-2024-us70109hal96,US70109HAL96,Parker-Hannifin Corp.,USD,3.300%,11/21/2024,2.0,
parker-hannifin_corpdl-notes_201919-24-Bond-2024-us701094am61,US701094AM61,Parker-Hannifin Corp.,USD,2.700%,6/14/2024,2.0,
parker-hannifin_corpdl-notes_201919-29-Bond-2029-us701094an45,US701094AN45,Parker-Hannifin Corp.,USD,3.250%,6/14/2029,2.0,
parkland_fuel_corpdl-notes_201818-26_regs-Bond-2026-usc71968aa67,USC71968AA67,Parkland Corp.,USD,6.000%,4/1/2026,2.0,
parkland_fuel_corpdl-notes_201919-27_regs-Bond-2027-usc71968ab41,USC71968AB41,Parkland Corp.,USD,5.875%,7/15/2027,2.0,
parsley_energy_llc-fin_corpdl-notes_201717-27_regs-Bond-2027-usu7024pag38,USU7024PAG38,Parsley Energy LLC/Parsley Finance Corp.,USD,5.625%,10/15/2027,2.0,
parsley_energy_llc-fin_corpdl-notes_201616-24_regs-Bond-2024-usu7024pac24,USU7024PAC24,Parsley Energy LLC/Parsley Finance Corp.,USD,6.250%,6/1/2024,2.0,
partnerre_finance_b_llcdl-notes_201919-29-Bond-2029-us70213bab71,US70213BAB71,PartnerRe Finance B LLC,USD,3.700%,7/2/2029,2.0,
party_city_holdings_incdl-notes_201818-26_regs-Bond-2026-usu70268ac82,USU70268AC82,Party City Holdings Inc.,USD,6.625%,8/1/2026,2.0,
paypal_holdings_incdl-notes_201919-29-Bond-2029-us70450yae32,US70450YAE32,PayPal Holdings Inc.,USD,2.850%,10/1/2029,2.0,
paypal_holdings_incdl-notes_201919-24-Bond-2024-us70450yac75,US70450YAC75,PayPal Holdings Inc.,USD,2.400%,10/1/2024,2.0,
paypal_holdings_incdl-notes_201919-26-Bond-2026-us70450yad58,US70450YAD58,PayPal Holdings Inc.,USD,2.650%,10/1/2026,2.0,
7_875-peabody-energy-Bond-2026-us704549af16,US704549AF16,Peabody Energy Corp.,USD,7.875%,11/1/2026,2.0,suspended payment
peabody_securities_fin_corpdl-notes_201717-25_regs-Bond-2025-usu7049lab46,USU7049LAB46,Peabody Securities Finance Corp.,USD,6.375%,3/31/2025,2.0,
penarth_master_issuer_plcdl-flr_mtn_20192123_a1_144a-Bond-2023-us70659pal58,US70659PAL58,Penarth Master Issuer PLC,,0.734%,7/18/2023,12.0,variable coupon
penske_automotive_group_incdl-notes_201616-26-Bond-2026-us70959wag87,US70959WAG87,Penske Automotive Group Inc.,USD,5.500%,5/15/2026,2.0,
penske_automotive_group_incdl-notes_201414-24-Bond-2024-us70959waf05,US70959WAF05,Penske Automotive Group Inc.,USD,5.375%,12/1/2024,2.0,
penske_trleascolp-ptl_fcdl-notes_201616-26_144a-Bond-2026-us709599aw47,US709599AW47,Penske Truck Leasing Co. L.P./PTL Finance Corp.,,3.400%,11/15/2026,2.0,
penske_trleascolp-ptl_fcdl-notes_201919-24_regs-Bond-2024-usu71000ay61,USU71000AY61,Penske Truck Leasing Co. L.P./PTL Finance Corp.,USD,3.450%,7/1/2024,2.0,
penske_trleascolp-ptl_fcdl-notes_201818-24_regs-Bond-2024-usu71000au40,USU71000AU40,Penske Truck Leasing Co. L.P./PTL Finance Corp.,USD,3.900%,2/1/2024,2.0,
penske_trleascolp-ptl_fcdl-notes_201919-26_regs-Bond-2026-usu71000ax88,USU71000AX88,Penske Truck Leasing Co. L.P./PTL Finance Corp.,USD,4.450%,1/29/2026,2.0,
pentair_finance_sa_rl-Bond-2025-us709629ap40,US709629AP40,Pentair Finance S.a r.l.,USD,4.650%,9/15/2025,2.0,
pentair_finance_sa_rl-Bond-2029-us709629ar06,US709629AR06,Pentair Finance S.a r.l.,USD,4.500%,7/1/2029,2.0,
7_000-pepsi-cola-metropolitan-bottling-Bond-2029-us713409ac43,US713409AC43,Pepsi-Cola Metropolitan Bottling Co. Inc.,USD,7.000%,3/1/2029,2.0,
pepsico_incdl-notes_201616-26-Bond-2026-us713448dn57,US713448DN57,PepsiCo Inc.,USD,2.375%,10/6/2026,2.0,
pepsico_incdl-notes_201515-25-Bond-2025-us713448cy22,US713448CY22,PepsiCo Inc.,USD,3.500%,7/17/2025,2.0,
pepsico_incdl-notes_201414-24-Bond-2024-us713448cm83,US713448CM83,PepsiCo Inc.,USD,3.600%,3/1/2024,2.0,
pepsico_incdl-notes_201616-26-Bond-2026-us713448df24,US713448DF24,PepsiCo Inc.,USD,2.850%,2/24/2026,2.0,
pepsico_incdl-notes_202020-30-Bond-2030-us713448es36,US713448ES36,PepsiCo Inc.,USD,2.750%,3/19/2030,2.0,
pepsico_incdl-notes_201515-25-Bond-2025-us713448ct37,US713448CT37,PepsiCo Inc.,USD,2.750%,4/30/2025,2.0,
pepsico_incdl-notes_201919-29-Bond-2029-us713448el82,US713448EL82,PepsiCo Inc.,USD,2.625%,7/29/2029,2.0,
pepsico_incdl-notes_202020-25-Bond-2025-us713448eq79,US713448EQ79,PepsiCo Inc.,USD,2.250%,3/19/2025,2.0,
pepsico_incdl-notes_201717-27-Bond-2027-us713448dy13,US713448DY13,PepsiCo Inc.,USD,3.000%,10/15/2027,2.0,
pepsico_incdl-notes_202020-27-Bond-2027-us713448er52,US713448ER52,PepsiCo Inc.,USD,2.625%,3/19/2027,2.0,
perkinelmer_incdl-notes_201919-29-Bond-2029-us714046ag46,US714046AG46,PerkinElmer Inc.,USD,3.300%,9/15/2029,2.0,
pernod-ricard_sadl-notes_201616-26_regs-Bond-2026-usf7061baq35,USF7061BAQ35,Pernod-Ricard S.A.,USD,3.250%,6/8/2026,2.0,
perrigo_finance_unlimited_co-Bond-2024-us714295ac63,US714295AC63,Perrigo Finance Unlimited Co.,USD,3.900%,12/15/2024,2.0,
perrigo_finance_unlimited_codl-notes_201616-26-Bond-2026-us71429mab19,US71429MAB19,Perrigo Finance Unlimited Co.,USD,4.375%,3/15/2026,2.0,
peru_lng_srldl-notes_201818-30_regs-Bond-2030-usp7721bae13,USP7721BAE13,Peru LNG S.R.L.,USD,5.375%,3/22/2030,2.0,
perudl-bonds_202020-26-Bond-2026-us715638de95,US715638DE95,"Peru, Republik",USD,2.392%,1/23/2026,2.0,
perudl-bonds_201930-Bond-2030-us715638da73,US715638DA73,"Peru, Republik",USD,2.844%,6/20/2030,2.0,
perudl-bonds_201527-Bond-2027-us715638bu55,US715638BU55,"Peru, Republik",USD,4.125%,8/25/2027,2.0,
7_350-peru-republik-Bond-2025-us715638as19,US715638AS19,"Peru, Republik",USD,7.350%,7/21/2025,2.0,
pt_perusahaan_gas_negara_pe-Bond-2024-usy7136yaa83,USY7136YAA83,Perusahaan Gas Negara,USD,5.125%,5/16/2024,2.0,
petrobras_global_finance_bvdl-notes_201616-26-Bond-2026-us71647naq25,US71647NAQ25,Petrobras Global Finance B.V.,USD,8.750%,5/23/2026,2.0,
petrobras_global_finance_bvdl-notes_201717-25-Bond-2025-us71647nav10,US71647NAV10,Petrobras Global Finance B.V.,USD,5.299%,1/27/2025,2.0,
petrobras_global_finance_bvdl-notes_201818-29-Bond-2029-us71647naz24,US71647NAZ24,Petrobras Global Finance B.V.,USD,5.750%,2/1/2029,2.0,
petrobras_global_finance_bvdl-notes_201919-30_144a-Bond-2030-us71647nbf50,US71647NBF50,Petrobras Global Finance B.V.,,5.093%,1/15/2030,2.0,
petrobras_global_finance_bvdl-notes_201414-24-Bond-2024-us71647nam11,US71647NAM11,Petrobras Global Finance B.V.,USD,6.250%,3/17/2024,2.0,
petrobras_global_finance_bvdl-notes_201717-28_144a-Bond-2028-us71647naw92,US71647NAW92,Petrobras Global Finance B.V.,USD,6.000%,1/27/2028,2.0,
petrobras_global_finance_bvdl-notes_201717-28_regs-Bond-2028-usn6945aak36,USN6945AAK36,Petrobras Global Finance B.V.,USD,5.999%,1/27/2028,2.0,
petrobras_global_finance_bvdl-notes_201717-25_regs-Bond-2025-usn6945aaj62,USN6945AAJ62,Petrobras Global Finance B.V.,USD,5.299%,1/27/2025,2.0,
petrobras_global_finance_bvdl-notes_201919-30_regs-Bond-2030-usn6945aal19,USN6945AAL19,Petrobras Global Finance B.V.,USD,5.093%,1/15/2030,2.0,
7_625-petroliam-nasional-berhad-petronas-Bond-2026-usy68851ak32,USY68851AK32,Petroliam Nasional Berhad [PETRONAS],USD,7.625%,10/15/2026,2.0,
petropavlovsk_2010dl-exch_bonds_201924_regs-Bond-2024-xs1843433555,XS1843433555,Petropavlovsk 2010 Limited,USD,8.250%,7/3/2024,4.0,
petróleos_mexicanos_pemexdl-m-t_nts_201717-26-Bond-2026-us71654qcb68,US71654QCB68,Petróleos Mexicanos,USD,6.875%,8/4/2026,2.0,
dl-med-term_nts_201515-26-Bond-2026-us71654qbw15,US71654QBW15,Petróleos Mexicanos,USD,4.500%,1/23/2026,2.0,
petróleos_mexicanos_pemexdl-notes_201818-29-Bond-2029-us71654qcp54,US71654QCP54,Petróleos Mexicanos,USD,6.500%,1/23/2029,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201616-26_regs-Bond-2026-us71656mbk45,US71656MBK45,Petróleos Mexicanos,USD,6.875%,8/4/2026,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201616-23_144a-Bond-2023-us71656lbl45,US71656LBL45,Petróleos Mexicanos,USD,4.625%,9/21/2023,2.0,additional coupon possible
petróleos_mexicanos_pemexdl-m-t_nts_201414-25-Bond-2025-us71654qbv32,US71654QBV32,Petróleos Mexicanos,,4.250%,1/15/2025,2.0,
petróleos_mexicanos_pemexdl-notes_201919-30_144a-Bond-2030-us71654qct76,US71654QCT76,Petróleos Mexicanos,USD,6.840%,1/23/2030,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201515-26_regs-Bond-2026-us71656mbd02,US71656MBD02,Petróleos Mexicanos,USD,4.500%,1/23/2026,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201616-23_regs-Bond-2023-us71656mbl28,US71656MBL28,Petróleos Mexicanos,USD,4.625%,9/21/2023,2.0,additional coupon possible
dl-m-t_nts_201313-24_regs-Bond-2024-us71656maq24,US71656MAQ24,Petróleos Mexicanos,USD,4.875%,1/18/2024,2.0,
petróleos_mexicanos_pemexdl-med-t_nts_201313-24-Bond-2024-us71654qbh48,US71654QBH48,Petróleos Mexicanos,USD,4.875%,1/18/2024,2.0,
petróleos_mexicanos_pemexdl-notes_201818-29_144a-Bond-2029-us71654qcm24,US71654QCM24,Petróleos Mexicanos,,6.500%,1/23/2029,2.0,additional coupon possible
petróleos_mexicanos_pemexdl-m-tnts1717-27regs_tr2-Bond-2027-us71656mbs70,US71656MBS70,Petróleos Mexicanos,USD,6.500%,3/13/2027,2.0,
dl-m-t_nts_201414-25_144a-Bond-2025-us71656lba89,US71656LBA89,Petróleos Mexicanos,,4.250%,1/15/2025,2.0,additional coupon possible
dl-m-t_nts_201414-25_regs-Bond-2025-us71656mba62,US71656MBA62,Petróleos Mexicanos,USD,4.250%,1/15/2025,2.0,additional coupon possible
petróleos_mexicanos_pemexdl-m-t_nts_201717-23-Bond-2023-us71654qcd25,US71654QCD25,Petróleos Mexicanos,USD,4.625%,9/21/2023,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201818-28-Bond-2028-us71654qck67,US71654QCK67,Petróleos Mexicanos,USD,5.350%,2/12/2028,2.0,
dl-med-term_nts_1818-27tr2-Bond-2027-us71654qcg55,US71654QCG55,Petróleos Mexicanos,USD,6.500%,3/13/2027,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201616-26_144a-Bond-2026-us71656lbk61,US71656LBK61,Petróleos Mexicanos,USD,6.875%,8/4/2026,2.0,
petróleos_mexicanos_pemexdl-notes_201818-29_regs-Bond-2029-usp78625dv20,USP78625DV20,Petróleos Mexicanos,USD,6.500%,1/23/2029,2.0,additional coupon possible
petróleos_mexicanos_pemexdl-notes_201919-27_regs-Bond-2027-usp78625dw03,USP78625DW03,Petróleos Mexicanos,USD,6.490%,1/23/2027,2.0,
petróleos_mexicanos_pemexdl-notes_201919-30_regs-Bond-2030-usp78625dx85,USP78625DX85,Petróleos Mexicanos,USD,6.840%,1/23/2030,2.0,
petróleos_mexicanos_pemexdl-m-t_nts_201818-28_regs-Bond-2028-usp78625dd22,USP78625DD22,Petróleos Mexicanos,USD,5.350%,2/12/2028,2.0,
petróleos_de_venezuela_sadl-notes_201324-26_regs-Bond-2026-usp7807har68,USP7807HAR68,Petróleos de Venezuela S.A.,USD,6.000%,11/15/2026,2.0,suspended payment
petróleos_de_venezuela_sadl-notes_201414-22-24_regs-Bond-2024-usp7807hat25,USP7807HAT25,Petróleos de Venezuela S.A.,USD,6.000%,5/16/2024,2.0,suspended payment
5_375-petroleos-de-venezuela-Bond-2027-xs0294364954,XS0294364954,Petróleos de Venezuela S.A.,USD,5.375%,4/12/2027,2.0,suspended payment
pfizer_incdl-notes_201414-24-Bond-2024-us717081dm28,US717081DM28,Pfizer Inc.,USD,3.400%,5/15/2024,2.0,
pfizer_incdl-notes_201515-23-Bond-2023-us717081ds97,US717081DS97,Pfizer Inc.,USD,5.800%,8/12/2023,2.0,
pfizer_incdl-notes_201919-29-Bond-2029-us717081et61,US717081ET61,Pfizer Inc.,USD,3.450%,3/15/2029,2.0,
pfizer_incdl-flr_notes_201823-Bond-2023-us717081eq23,US717081EQ23,Pfizer Inc.,USD,0.643%,9/15/2023,4.0,variable coupon
pfizer_incdl-notes_201919-24-Bond-2024-us717081es88,US717081ES88,Pfizer Inc.,USD,2.950%,3/15/2024,2.0,
pfizer_incdl-notes_201616-26-Bond-2026-us717081dv27,US717081DV27,Pfizer Inc.,USD,2.750%,6/3/2026,2.0,
pfizer_incdl-notes_201818-23-Bond-2023-us717081en91,US717081EN91,Pfizer Inc.,USD,3.200%,9/15/2023,2.0,
pfizer_incdl-notes_201818-28-Bond-2028-us717081ep40,US717081EP40,Pfizer Inc.,USD,3.600%,9/15/2028,2.0,
pfizer_incdl-notes_202020-30-Bond-2030-us717081ew90,US717081EW90,Pfizer Inc.,USD,2.625%,4/1/2030,2.0,
7_125-phelps-dodge-Bond-2027-us717265aj16,US717265AJ16,Phelps Dodge Corp.,USD,7.125%,11/1/2027,2.0,
philip_morris_internat_incdl-notes_201919-29-Bond-2029-us718172cj63,US718172CJ63,Philip Morris International Inc.,USD,3.375%,8/15/2029,2.0,
philip_morris_internat_incdl-notes_201919-24-Bond-2024-us718172ch08,US718172CH08,Philip Morris International Inc.,USD,2.875%,5/1/2024,2.0,
philip_morris_internat_incdl-notes_201323-Bond-2023-us718172be85,US718172BE85,Philip Morris International Inc.,USD,3.600%,11/15/2023,2.0,
philip_morris_internat_incdl-notes_201717-28-Bond-2028-us718172ce76,US718172CE76,Philip Morris International Inc.,USD,3.125%,3/2/2028,2.0,
philip_morris_internat_incdl-notes_201515-25-Bond-2025-us718172bq16,US718172BQ16,Philip Morris International Inc.,USD,3.375%,8/11/2025,2.0,
philip_morris_internat_incdl-notes_202020-30-Bond-2030-us718172cp24,US718172CP24,Philip Morris International Inc.,USD,2.100%,5/1/2030,2.0,
