Identifier,Identifier_Status,Name,ISIN,Ticker,Country,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Conversion_Terms,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Issuer_ID,SPV_Issuer,SPV_Issuer_ID,Borrower,Borrower_ID,Amount,Floating,Ref_Rate,Margin,Current_Rate,Listing,Integral_Multiple,Nominal,Nominal_Intl_Bonds,Min_Settlement_Amt,Outstanding_Principal_Amt,Amt,Amt_Outstanding,Oustanding_Face_Val_Amt
109515,Valid,"Domestic bonds: Banca Popolare Di Vicenza, 4.5% 30jun2017, EUR (IT0004733777)",IT0004733777,VICEN V0 06/30/17 0000,Italy,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banca Popolare Di Vicenza,30933,,,,,"30,000,000 EUR",Yes,3M EURIBOR,0.5,,,"1,000 EUR","1,000 EUR",,,,"30,000,000 EUR","11,520,000 EUR",
109539,Valid,"Domestic bonds: Banca Popolare Di Vicenza, 1.75% 18aug2017, EUR (IT0005042418)",IT0005042418,VICEN 1.75 08/18/17 0000,Italy,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banca Popolare Di Vicenza,30933,,,,,"5,222,000 EUR",No,,,1.75%,,"1,000 EUR","1,000 EUR",,,,"5,222,000 EUR",0 EUR,
109839,Valid,"Domestic bonds: Metallenergomontazh, 01 (4-01-36470-R, RU000A0JVE40, МетЭнМонт1)",RU000A0JVE40,MTLGMO V0 05/07/20 1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Metallenergomontazh,47091,,,,,"5,000,000,000 RUB",No,,,10%,"Moscow Exchange, RU000A0JVE40 (Third level, 04/23/2015)",,"1,000 RUB",,,,"5,000,000,000 RUB",,
110431,Valid,"Domestic bonds: African Bank, 5.5% 11oct2017, CHF (CH0224486578)",CH0224486578,ABLSJ 5.5 10/11/17 EMTN,South Africa,early redeemed,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,African Bank,17751,,,,,"105,000,000 CHF",No,,,5.50%,,,"5,000 CHF",,,0 CHF,"105,000,000 CHF",0 CHF,
110467,Valid,"Domestic bonds: Air Berlin, 6% 6mar2019, EUR (Conv.) (DE000A1HGM38)",DE000A1HGM38,AIRBR 6 03/06/19 AB1,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,Yes,stock ticker=AB1 GR; init. premium=25,No,No,No,No,No,No,No,No,No,No,No,No,No,Air Berlin,32053,,,,,"140,000,000 EUR",No,,,6%,,"100,000 EUR","100,000 EUR",,,"100,000 EUR","140,000,000 EUR","98,700,000 EUR",
110541,Valid,"Domestic bonds: ALNO, 8% 21mar2019, EUR (DE000A11QHW7)",DE000A11QHW7,ALNOGY 8 03/21/19 ANO,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,ALNO,46897,,,,,"14,000 EUR",No,,,8%,,,1 EUR,,,1 EUR,"14,000 EUR",,
110543,Valid,"Domestic bonds: ALNO, 8.5% 14may2018, EUR (DE000A1R1BR4)",DE000A1R1BR4,ALNOGY 8.5 05/14/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,ALNO,46897,,,,,"45,000,000 EUR",No,,,8.50%,,,"1,000 EUR",,,"1,000 EUR","45,000,000 EUR",,
110549,Valid,"Domestic bonds: Alpine Holding, 5.25% 10jun2016, EUR (AT0000A0PJJ0)",AT0000A0PJJ0,ALPHOL 5.25 06/10/16,Austria,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Alpine Holding,46955,,,,,"90,000,000 EUR",No,,,5.25%,,,"1,000 EUR",,,,"90,000,000 EUR",,
110551,Valid,"Domestic bonds: Alpine Holding, 6% 22may2017, EUR (AT0000A0V834)",AT0000A0V834,ALPHOL 6 05/22/17 EMTN,Austria,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Alpine Holding,46955,,,,,"100,000,000 EUR",No,,,6%,,,"1,000 EUR",,,,"100,000,000 EUR",,
110823,Valid,"Domestic bonds: Australian Mining Finance Luxembourg, 9.75% 31dec2015, EUR (DE000A0T41B2)",DE000A0T41B2,AMFL 9.75 12/31/15 EMTN,Luxembourg,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Australian Mining Finance Luxembourg,46867,,,,,"125,000,000 EUR",No,,,9.75%,,,"1,000 EUR",,,,"125,000,000 EUR",,
111001,Valid,"Domestic bonds: Banco Espirito Santo, FRN 28nov2023, EUR (PTBEQJOM0012)",PTBEQJOM0012,BESPL 7.125 11/28/23 EMTN,Portugal,outstanding,Coupon bonds,1 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banco Espirito Santo,12101,,,,,"750,000,000 EUR",Yes,5Y EUR Swap rate,6.06,,Luxembourg S.E.,,"100,000 EUR",,,"100,000 EUR","750,000,000 EUR",,"750,000,000 EUR"
114231,Valid,"Domestic bonds: Centrosolar, 7% 15feb2016, EUR (DE000A1E85T1)",DE000A1E85T1,CENGRO 7 02/15/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Centrosolar,46637,,,,,"50,000,000 EUR",No,,,7%,,,"1,000 EUR",,,,"50,000,000 EUR",,
115219,Valid,"Domestic bonds: DEIKON, 6% 16nov2016, EUR (DE000A0KAHL9)",DE000A0KAHL9,BRMH 1 11/16/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,DEIKON,45927,,,,,"30,000,000 EUR",No,,,6%,,"1,000 EUR","1,000 EUR",,,,"30,000,000 EUR",,
115221,Valid,"Domestic bonds: DEIKON, 6% 1jul2016, EUR (DE000A0JQAG2)",DE000A0JQAG2,BRMH 1 07/01/16,Germany,redemption default,Coupon bonds,1 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,DEIKON,45927,,,,,"20,000,000 EUR",No,,,6%,,"1,000 EUR","1,000 EUR",,,,"20,000,000 EUR",,
115223,Valid,"Domestic bonds: DEIKON, 6% 30jun2015, EUR (DE000A0EPM07)",DE000A0EPM07,BRMH 1 07/01/15,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,DEIKON,45927,,,,,"20,000,000 EUR",No,,,6%,,,"1,000 EUR",,,,"20,000,000 EUR",,
120103,Valid,"Domestic bonds: Enterprise Holdings, 7% 26sep2017, EUR (DE000A1G9AQ4)",DE000A1G9AQ4,ENTHOL 7 09/26/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Enterprise Holdings,46783,,,,,"35,000,000 EUR",No,,,7%,,,"1,000 EUR",,,"1,000 EUR","35,000,000 EUR",,
121033,Valid,"Domestic bonds: FFK Environment, 7.25% 1jun2016, EUR (DE000A1KQ4Z1)",DE000A1KQ4Z1,EFFENV 7.25 06/01/16,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,FFK Environment,46711,,,,,"25,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,,"25,000,000 EUR","16,000,000 EUR",
121161,Valid,"Domestic bonds: friedola, 7.25% 10apr2020, EUR (DE000A1MLYJ9)",DE000A1MLYJ9,FRGEHZ 7.25 04/11/20,Germany,redeemed,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,friedola,46625,,,,,"25,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,0 EUR,"25,000,000 EUR","13,000,000 EUR",
121167,Valid,"Domestic bonds: G.ZAMEK, 7.75% 15may2017, EUR (DE000A1K0YD5)",DE000A1K0YD5,ZAMEK 7.75 05/15/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,G.ZAMEK,46619,,,,,"45,000,000 EUR",No,,,7.75%,,,"1,000 EUR",,,,"45,000,000 EUR",,
121257,Valid,"Domestic bonds: Sanders, 8.75% 22oct2018, EUR (DE000A1X3MD9)",DE000A1X3MD9,GERBSN 8.75 10/22/18,Germany,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Sanders,46603,,,,,"26,000,000 EUR",No,,,8.75%,,,"1,000 EUR",,,,"26,000,000 EUR",,
121363,Valid,"Domestic bonds: German Pellets, 7.25% 1apr2016, EUR (DE000A1H3J67)",DE000A1H3J67,GERPEL 7.25 04/01/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,German Pellets,46589,,,,,"80,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,"1,000 EUR","80,000,000 EUR","54,440,000 EUR",
121365,Valid,"Domestic bonds: German Pellets, 7.25% 9jul2018, EUR (DE000A1TNAP7)",DE000A1TNAP7,GERPEL 7.25 07/09/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,German Pellets,46589,,,,,"94,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,"1,000 EUR","94,000,000 EUR",,
121369,Valid,"Domestic bonds: getgoods.de, 7.75% 2oct2017, EUR (DE000A1PGVS9)",DE000A1PGVS9,GTGOOD 7.75 10/02/17,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,getgoods.de,46585,,,,,"60,000,000 EUR",No,,,7.75%,,,"1,000 EUR",,,,"60,000,000 EUR",,
121371,Valid,"Domestic bonds: GEWA Group, 6.5% 24mar2018, EUR (DE000A1YC7Y7)",DE000A1YC7Y7,GEWAGK 6.5 03/24/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,GEWA Group,46583,GEWA 5 to 1 GmbH &amp; Co. KG,46577,,,"35,000,000 EUR",No,,,6.50%,,,"1,000 EUR",,,"1,000 EUR","35,000,000 EUR",,
121399,Valid,"Domestic bonds: Global PVQ SE, 6.75% 21oct2015, EUR (DE000A1E8HF6)",DE000A1E8HF6,QCELLS 6.75 10/21/15 QCE,Germany,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Global PVQ SE,46561,,,,,"29,390,000 EUR",No,,,6.75%,,,1 EUR,,,,"29,390,000 EUR",,
121401,Valid,"Domestic bonds: Golden Gate, 6.5% 11oct2014, EUR (DE000A1KQXX5)",DE000A1KQXX5,GOLDGR 6.5 10/11/14,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Golden Gate,46559,,,,,"30,000,000 EUR",No,,,6.50%,,,"1,000 EUR",,,,"30,000,000 EUR",,
121431,Valid,"Domestic bonds: Gold-Zack, 7% 14dec2005, EUR (Conv.) (DE0007686834)",DE0007686834,GOLDZ 7 12/14/05,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,Yes,Stock TKr GOZ2 GR until 12.12.2005,No,No,No,No,No,No,No,No,No,No,No,No,No,Gold-Zack,46557,,,,,"125,000,000 EUR",No,,,7%,,"1,000 EUR","1,000 EUR",,,"1,000 EUR","125,000,000 EUR","112,500,000 EUR",
121843,Valid,"Domestic bonds: HKW GmbH, 8.25% 15nov2016, EUR (DE000A1K0QR1)",DE000A1K0QR1,HKWPER 8.25 11/15/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,HKW GmbH,46481,,,,,"10,000,000 EUR",No,,,8.25%,,,"1,000 EUR",,,,"10,000,000 EUR",,
124241,Valid,"Domestic bonds: Karlie Group, 6.75% 25jun2021, EUR (DE000A1TNG90)",DE000A1TNG90,KARLIE 5 06/25/21,Germany,outstanding,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Karlie Group,46323,,,,,"30,000,000 EUR",No,,,5%,,"1,000 EUR","1,000 EUR",,,"1,000 EUR","30,000,000 EUR",,"30,000,000 EUR"
124341,Valid,"Domestic bonds: Konservenfabrik Zachow, 8% 1apr2016, EUR (DE000A0H5JK6)",DE000A0H5JK6,KONZAC 8 04/01/16,Germany,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Konservenfabrik Zachow,46293,,,,,"6,000,000 EUR",No,,,8%,,100 EUR,100 EUR,,,100 EUR,"6,000,000 EUR",,
124623,Valid,"Domestic bonds: KTG Agrar SE, 7.125% 6jun2017, EUR (DE000A1H3VN9)",DE000A1H3VN9,KTGGR 7.125 06/06/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,KTG Agrar SE,46257,,,,,"70,000,000 EUR",No,,,7.13%,,,"1,000 EUR",,,"1,000 EUR","70,000,000 EUR",,
124625,Valid,"Domestic bonds: DAH Energie GmbH, 7.25% 28sep2018, EUR (DE000A1ML257)",DE000A1ML257,DAHENE 7.25 09/28/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,DAH Energie GmbH,46253,,,,,"50,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,"1,000 EUR","50,000,000 EUR",,
126821,Valid,"Domestic bonds: Laurel, 7.125% 16nov2017, EUR (DE000A1RE5T8)",DE000A1RE5T8,LAELGH 7.125 11/16/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Laurel,46159,,,,,"20,000,000 EUR",No,,,7.13%,,,"1,000 EUR",,,,"20,000,000 EUR",0 EUR,
128599,Valid,"Domestic bonds: Loginet3 AG, 9.5% 1jan2016, EUR (DE000A0XXW36)",DE000A0XXW36,POSGR 9.5 01/01/16,Germany,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Loginet3 AG,46129,,,,,"30,000,000 EUR",No,,,9.50%,,,100 EUR,,,,"30,000,000 EUR",,
128761,Valid,"Domestic bonds: Muehl Product &amp; Service, 6.75% 10mar2005, DEM (DE0003504171)",DE0003504171,MUEHL 6.75 03/10/05,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Muehl Product &amp; Service,123167,,,,,"100,000,000 DEM",No,,,6.75%,,"10,000 DEM","10,000 DEM",,,,"100,000,000 DEM",,
128919,Valid,"Domestic bonds: MIFA Mitteldeutsche Fahrradwerke, 7.5% 12aug2018, EUR (DE000A1X25B5)",DE000A1X25B5,FWGR 7.5 08/12/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,MIFA Mitteldeutsche Fahrradwerke,45983,,,,,"25,000,000 EUR",No,,,7.50%,,,"1,000 EUR",,,"1,000 EUR","25,000,000 EUR",,
128977,Valid,"Domestic bonds: Mox Telecom, 7.25% 2nov2017, EUR (DE000A1RE1Z4)",DE000A1RE1Z4,MOXTEL 7.25 11/02/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Mox Telecom,45957,,,,,"35,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,,"35,000,000 EUR",,
128979,Valid,"Domestic bonds: MS Deutschland, 6.875% 18dec2017, EUR (DE000A1RE7V0)",DE000A1RE7V0,MADGDE 6.875 12/18/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,MS Deutschland,45955,,,,,"60,000,000 EUR",No,,,6.88%,,,"1,000 EUR",,,,"60,000,000 EUR","50,000,000 EUR",
128983,Valid,"Domestic bonds: MT-Energie, 8.25% 4apr2017, EUR (DE000A1MLRM7)",DE000A1MLRM7,MTENER 8.25 04/04/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,MT-Energie,45951,,,,,"13,600,000 EUR",No,,,8.25%,,,"1,000 EUR",,,,"13,600,000 EUR",,
130561,Valid,"Domestic bonds: Banco Espirito Santo, 2.625% 8may2017, EUR (PTBEQKOM0019)",PTBEQKOM0019,BESPL 2.625 05/08/17 EMTN,Portugal,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banco Espirito Santo,12101,,,,,"750,000,000 EUR",No,,,2.63%,Luxembourg S.E.,,"100,000 EUR",,,"100,000 EUR","750,000,000 EUR",,
130563,Valid,"Domestic bonds: Banco Espirito Santo, 4% 21jan2019, EUR (PTBENKOM0012)",PTBENKOM0012,BESPL 4 01/21/19 EMTN,Portugal,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banco Espirito Santo,12101,,,,,"750,000,000 EUR",No,,,4%,Luxembourg S.E.,,"100,000 EUR",,,"100,000 EUR","750,000,000 EUR",,
130565,Valid,"Domestic bonds: Banco Espirito Santo, 4.75% 15jan2018, EUR (PTBENJOM0015)",PTBENJOM0015,BESPL 4.75 01/15/18 EMTN,Portugal,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banco Espirito Santo,12101,,,,,"500,000,000 EUR",No,,,4.75%,Luxembourg S.E.,,"100,000 EUR",,,"100,000 EUR","500,000,000 EUR",,
130569,Valid,"Domestic bonds: Banco Espirito Santo, 6.875% 15jul2016, EUR (PTBEQBOM0010)",PTBEQBOM0010,BESPL 6.875 07/15/16 EMTN,Portugal,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Banco Espirito Santo,12101,,,,,"81,400,000 EUR",No,,,6.88%,Luxembourg S.E.,,"100,000 EUR",,,,"81,400,000 EUR",,
131481,Valid,"Domestic bonds: Portugal Telecom, 6.25% 26jul2016, EUR (PTPTCYOM0008)",PTPTCYOM0008,OIBRBZ 6.25 07/26/16 EMTN,Portugal,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Portugal Telecom,38973,,,,,"400,000,000 EUR",No,,,6.25%,,"1,000 EUR","1,000 EUR",,,"1,000 EUR","400,000,000 EUR","231,000,000 EUR",
131491,Valid,"Domestic bonds: Praktiker, 5.875% 10feb2016, EUR (DE000A1H3JZ8)",DE000A1H3JZ8,PRAGR 5.875 02/10/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Praktiker,45731,,,,,"250,000,000 EUR",No,,,5.88%,,,"1,000 EUR",,,,"250,000,000 EUR",,
131709,Valid,"Domestic bonds: RENA, 7% 15dec2015, EUR (DE000A1E8W96)",DE000A1E8W96,RENAGR 7 12/15/15,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,RENA,45691,,,,,"75,000,000 EUR",No,,,7%,,,"1,000 EUR",,,,"75,000,000 EUR","43,460,000 EUR",
131711,Valid,"Domestic bonds: RENA, 8.25% 11jul2018, EUR (DE000A1TNHG1)",DE000A1TNHG1,RENAGR 8.25 07/11/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,RENA,45691,,,,,"40,000,000 EUR",No,,,8.25%,,,"1,000 EUR",,,"1,000 EUR","40,000,000 EUR",,
131713,Valid,"Domestic bonds: Rena Lange Holding, 8% 12dec2017, EUR (DE000A1ZAEM0)",DE000A1ZAEM0,RNLNGE 8 12/12/17,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Rena Lange Holding,45689,,,,,"10,000,000 EUR",No,,,8%,,,"1,000 EUR",,,,"10,000,000 EUR",,
131729,Valid,"Domestic bonds: Rene Lezard Mode, 7.25% 26nov2017, EUR (DE000A1PGQR1)",DE000A1PGQR1,RENELN 7.25 11/25/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Rene Lezard Mode,45687,,,,,"15,000,000 EUR",No,,,7.25%,,,"1,000 EUR",,,,"15,000,000 EUR",,
131923,Valid,"Domestic bonds: Rickmers Holding, 8.875% 11jun2018, EUR (DE000A1TNA39)",DE000A1TNA39,RCKMRS 8.875 06/11/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Rickmers Holding,45681,,,,,"375,000,000 EUR",No,,,8.88%,,,"1,000 EUR",,,"1,000 EUR","375,000,000 EUR",,
131927,Valid,"Domestic bonds: RINOL AG, 0% 15oct2006, DEM (2922D) (DE0003504965)",DE0003504965,RINOL 5.5 10/15/06,Germany,redemption default,Zero-coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,RINOL AG,45677,,,,,"130,000,000 DEM",No,,,,,"1,000 DEM","1,000 DEM",,,,"130,000,000 DEM",,
131987,Valid,"Domestic bonds: Rudolf Woehrl, 6.5% 12feb2018, EUR (DE000A1R0YA4)",DE000A1R0YA4,RUDWOE 6.5 02/12/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Rudolf Woehrl,45657,,,,,"30,000,000 EUR",No,,,6.50%,,,"1,000 EUR",,,"1,000 EUR","30,000,000 EUR",,
132001,Valid,"Domestic bonds: S.A.G. Solarstrom, 6.25% 14dec2015, EUR (DE000A1E84A4)",DE000A1E84A4,SAGGR 6.25 12/14/15,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,S.A.G. Solarstrom,45649,,,,,"50,000,000 EUR",No,,,6.25%,,,"1,000 EUR",,,,"50,000,000 EUR","25,000,000 EUR",
132003,Valid,"Domestic bonds: S.A.G. Solarstrom, 7.5% 10jul2017, EUR (DE000A1K0K53)",DE000A1K0K53,SAGGR 7.5 07/10/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,S.A.G. Solarstrom,45649,,,,,"25,000,000 EUR",No,,,7.50%,,,"1,000 EUR",,,,"25,000,000 EUR",,
132463,Valid,"Domestic bonds: SIC Processing, 7.125% 1mar2016, EUR (DE000A1H3HQ1)",DE000A1H3HQ1,SICPRO 7.125 03/01/16 A,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,SIC Processing,45589,,,,,"100,000,000 EUR",No,,,7.13%,,,"1,000 EUR",,,,"100,000,000 EUR","80,000,000 EUR",
132589,Valid,"Domestic bonds: Solarworld AG, FRN 24feb2019, EUR (DE000A1YDDX6)",DE000A1YDDX6,SWVGR 11 02/24/19 1116,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Solarworld AG,32197,,,,,"51,972,860 EUR",Yes,3M EURIBOR,6,,Frankfurt S.E.,372.87 EUR,366.8 EUR,,,366.8 EUR,"51,972,860 EUR","48,141,140 EUR",
132591,Valid,"Domestic bonds: Solarworld AG, FRN 24feb2019, EUR (DE000A1YCN14)",DE000A1YCN14,SWVGR 11 02/24/19 1017,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Solarworld AG,32197,,,,,"174,844,360 EUR",Yes,3M EURIBOR,6,,Frankfurt S.E.,381.5 EUR,355.08 EUR,,,355.08 EUR,"174,844,360 EUR","127,937,160 EUR",
132593,Valid,"Domestic bonds: Solen, 7.5% 8apr2016, EUR (DE000A1H3M96)",DE000A1H3M96,PYGR 7.5 04/08/16,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Solen,45557,,,,,"50,000,000 EUR",No,,,7.50%,,,"1,000 EUR",,,,"50,000,000 EUR","27,550,000 EUR",
132739,Valid,"Domestic bonds: Steilmann, 6.75% 27jun2017, EUR (DE000A1PGWZ2)",DE000A1PGWZ2,STEGR 6.75 06/27/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Steilmann,156857,,,,,"45,000,000 EUR",No,,,6.75%,,,"1,000 EUR",,,"1,000 EUR","45,000,000 EUR",,
132741,Valid,"Domestic bonds: Steilmann, 7% 23sep2018, EUR (DE000A12UAE0)",DE000A12UAE0,STEGR 7 09/23/18,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Steilmann,156857,,,,,"33,000,000 EUR",No,,,7%,,,"1,000 EUR",,,"1,000 EUR","33,000,000 EUR",,
132759,Valid,"Domestic bonds: Strenesse, 9% 15mar2017, EUR (DE000A1TM7E4)",DE000A1TM7E4,STREN 9 03/15/17,Germany,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Strenesse,45497,,,,,"12,000,000 EUR",No,,,9%,,,"1,000 EUR",,,,"12,000,000 EUR",,
133073,Valid,"Domestic bonds: Trikomsel Pte. Ltd., 5.25% 10may2016, SGD (SG55I2992272)",SG55I2992272,TRIOIJ 5.25 05/10/16,Singapore,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Trikomsel Pte. Ltd.,41761,,,,,"115,000,000 SGD",No,,,5.25%,"SGX, 2UTB","250,000 SGD","250,000 SGD",,,,"115,000,000 SGD",,
134159,Valid,"Domestic bonds: WGF AG, 6.35% 1dec2016, EUR (DE000WGFH059)",DE000WGFH059,WGFAG 6.35 12/01/16 1,Germany,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,WGF AG,44953,,,,,"100,000,000 EUR",No,,,6.35%,,,500 EUR,,,,"100,000,000 EUR","91,690,000 EUR",
134161,Valid,"Domestic bonds: WGF AG, 6.35% 1aug2017, EUR (DE000WGFH083)",DE000WGFH083,WGFAG 6.35 08/01/17,Germany,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,WGF AG,44953,,,,,"50,000,000 EUR",No,,,6.35%,,,"1,000 EUR",,,,"50,000,000 EUR",,
