Issuer,Currency,Due_Date,Coupon,ISIN
International Bank for Reconstruction and Development,USD,07.10.2022,"1,875%",US459058ES86
International Bank for Reconstruction and Development,USD,09.03.2021,"1,625%",US459058EW98
International Bank for Reconstruction and Development,USD,24.05.2021,"1,375%",US459058FH13
International Bank for Reconstruction and Development,USD,10.08.2020,"1,125%",US459058FM08
International Bank for Reconstruction and Development,USD,20.09.2021,"1,375%",US459058FP39
International Bank for Reconstruction and Development,USD,27.10.2026,"1,875%",US459058FT50
International Bank for Reconstruction and Development,USD,26.01.2022,"2,000%",US459058FY46
International Bank for Reconstruction and Development,USD,04.09.2020,"1,625%",US459058GA50
International Bank for Reconstruction and Development,USD,22.11.2027,"2,500%",US459058GE72
International Bank for Reconstruction and Development,USD,23.07.2021,"2,750%",US459058GH04
International Bank for Reconstruction and Development,USD,06.08.2024,"1,078%",US459058HC08
International Bank for Reconstruction and Development,USD,15.01.2025,"1,625%",US459058HT33
International Bank for Reconstruction and Development,USD,11.03.2025,"0,750%",US459058JA24
International Bank for Reconstruction and Development,USD,22.04.2025,"0,625%",US459058JB07
International Bank for Reconstruction and Development,USD,14.05.2030,"0,875%",US459058JC89
International Bank for Reconstruction and Development,USD,15.02.2035,"4,750%",US45905CAA27
International Bank for Reconstruction and Development,ZAR,14.07.2027,"0,000%",US45905UAD63
International Bank for Reconstruction and Development,USD,03.03.2025,"2,125%",US45905URL07
International Bank for Reconstruction and Development,USD,13.10.2020,"1,411%",US45905UYY45
International Business Machines Corp.,USD,01.08.2022,"1,875%",US459200HG92
International Business Machines Corp.,USD,12.02.2024,"3,625%",US459200HU86
International Business Machines Corp.,USD,19.02.2026,"3,450%",US459200JG74
International Business Machines Corp.,USD,27.01.2022,"2,500%",US459200JQ56
International Business Machines Corp.,USD,27.01.2027,"3,300%",US459200JR30
International Business Machines Corp.,USD,13.05.2022,"2,850%",US459200JX08
International Business Machines Corp.,USD,15.05.2026,"3,300%",US459200JZ55
International Business Machines Corp.,USD,15.05.2029,"3,500%",US459200KA85
International Business Machines Corp.,USD,15.05.2039,"4,150%",US459200KB68
International Business Machines Corp.,USD,15.05.2049,"4,250%",US459200KC42
International Business Machines Corp.,USD,13.05.2021,"0,833%",US459200KD25
International Business Machines Corp.,USD,15.05.2027,"1,700%",US459200KH39
International Business Machines Corp.,USD,15.05.2030,"1,950%",US459200KJ94
International Business Machines Corp.,USD,15.05.2040,"2,850%",US459200KK67
International Business Machines Corp.,USD,15.05.2050,"2,950%",US459200KL41
International Finance Corp.,USD,16.07.2020,"1,625%",US45950KCG31
International Finance Corp.,USD,07.04.2026,"2,125%",US45950VHX73
International Finance Corp.,USD,15.12.2022,"0,383%",US45950VKY10
International Finance Corp.,USD,24.10.2022,"2,000%",US45950VLH77
The Interpublic Group of Companies Inc.,USD,01.10.2021,"3,750%",US460690BN94
"Israel, Staat",USD,15.12.2028,"7,250%",US465138ZR91
"Israel, Staat",USD,03.07.2030,"2,750%",US46513JB346
"Israel, Staat",USD,03.07.2050,"3,875%",US46513JB429
"Israel, Staat",USD,03.04.2120,"4,500%",US46513JB593
JPMorgan Chase & Co.,USD,10.05.2021,"4,625%",US46625HHZ64
JPMorgan Chase & Co.,USD,15.08.2021,"4,350%",US46625HJC51
JPMorgan Chase & Co.,USD,24.01.2022,"4,500%",US46625HJD35
JPMorgan Chase & Co.,USD,23.09.2022,"3,250%",US46625HJE18
JPMorgan Chase & Co.,USD,25.01.2023,"3,200%",US46625HJH49
JPMorgan Chase & Co.,USD,01.05.2023,"3,375%",US46625HJJ05
JPMorgan Chase & Co.,USD,16.08.2043,"5,625%",US46625HJM34
JPMorgan Chase & Co.,USD,01.02.2024,"3,875%",US46625HJT86
JPMorgan Chase & Co.,USD,01.02.2044,"4,850%",US46625HJU59
JPMorgan Chase & Co.,USD,13.05.2024,"3,625%",US46625HJX98
JPMorgan Chase & Co.,USD,10.09.2024,"3,875%",US46625HJY71
JPMorgan Chase & Co.,USD,23.01.2025,"3,125%",US46625HKC33
JPMorgan Chase & Co.,USD,01.06.2045,"4,950%",US46625HLL23
JPMorgan Chase & Co.,USD,15.07.2025,"3,900%",US46625HMN79
JPMorgan Chase & Co.,USD,01.03.2021,"1,830%",US46625HQK94
JPMorgan Chase & Co.,USD,18.05.2023,"2,700%",US46625HRL68
JPMorgan Chase & Co.,USD,15.06.2026,"3,200%",US46625HRS12
JPMorgan Chase & Co.,USD,01.10.2026,"2,950%",US46625HRV41
JPMorgan Chase & Co.,USD,01.02.2028,"3,782%",US46625HRY89
JPMorgan Chase & Co.,USD,22.02.2048,"4,260%",US46647PAA49
JPMorgan Chase & Co.,USD,24.07.2048,"4,032%",US46647PAK21
JPMorgan Chase & Co.,USD,23.04.2029,"4,005%",US46647PAR73
JPMorgan Chase & Co.,USD,23.07.2024,"1,933%",US46647PAW68
JPMorgan Chase & Co.,USD,06.05.2030,"3,702%",US46647PBD78
JPMorgan Chase & Co.,USD,15.10.2030,"2,739%",US46647PBE51
JPMorgan Chase & Co.,USD,24.03.2031,"4,493%",US46647PBJ49
JPMorgan Chase & Co.,USD,22.04.2026,"2,083%",US46647PBK12
JPMorgan Chase & Co.,USD,22.04.2031,"2,522%",US46647PBL94
JPMorgan Chase & Co.,USD,22.04.2041,"3,109%",US46647PBM77
JPMorgan Chase & Co.,USD,22.04.2051,"3,109%",US46647PBN50
JPMorgan Chase & Co.,USD,13.05.2031,"2,956%",US46647PBP09
JPMorgan Chase & Co.,USD,01.06.2024,"1,514%",US46647PBQ81
JPMorgan Chase & Co.,USD,01.06.2028,"2,182%",US46647PBR64
Jackson National Life Global Funding,USD,11.06.2025,"3,875%",US46849MBA62
Japan Bank for International Cooperation,USD,10.02.2025,"2,125%",US471048AM01
Japan Bank for International Cooperation,USD,28.05.2025,"2,500%",US471048AP32
Jefferies Group LLC,USD,20.01.2023,"5,125%",US472319AL69
Johnson & Johnson,USD,15.07.2038,"5,850%",US478160AT19
Johnson & Johnson,USD,01.09.2020,"2,950%",US478160AW48
Johnson & Johnson,USD,15.05.2021,"3,550%",US478160AZ78
Johnson & Johnson,USD,05.12.2023,"3,375%",US478160BH61
Johnson & Johnson,USD,05.12.2033,"4,375%",US478160BJ28
Johnson & Johnson,USD,05.12.2043,"4,500%",US478160BK90
Johnson & Johnson,USD,05.12.2021,"2,450%",US478160BN30
Johnson & Johnson,USD,01.03.2021,"1,650%",US478160BS27
Johnson & Johnson,USD,01.03.2023,"2,050%",US478160BT00
Johnson & Johnson,USD,01.03.2046,"3,700%",US478160BV55
Johnson & Johnson,USD,01.03.2026,"2,450%",US478160BY94
Johnson & Johnson,USD,03.03.2022,"2,250%",US478160CD49
Johnson & Johnson,USD,03.03.2027,"2,950%",US478160CE22
Johnson & Johnson,USD,03.03.2037,"3,625%",US478160CF96
Johnson & Johnson,USD,03.03.2047,"3,750%",US478160CG79
Johnson & Johnson,USD,10.11.2020,"1,950%",US478160CH52
Johnson & Johnson,USD,15.01.2025,"2,625%",US478160CJ19
Johnson & Johnson,USD,15.01.2028,"2,900%",US478160CK81
Johnson & Johnson,USD,15.01.2038,"3,400%",US478160CL64
Johnson & Johnson,USD,15.01.2048,"3,500%",US478160CM48
Juniper Networks Inc.,USD,15.03.2024,"4,500%",US48203RAG92
Juniper Networks Inc.,USD,15.06.2025,"4,350%",US48203RAJ32
KLA Corp.,USD,01.03.2050,"3,300%",US482480AJ99
Kellogg Co.,USD,15.12.2020,"4,000%",US487836BD94
Kellogg Co.,USD,01.04.2026,"3,250%",US487836BP25
Kellogg Co.,USD,01.12.2023,"2,650%",US487836BS63
Kellogg Co.,USD,15.11.2027,"3,400%",US487836BU10
Kellogg Co.,USD,01.06.2030,"2,100%",US487836BX58
Keurig Dr Pepper Inc.,USD,25.05.2028,"4,597%",US49271VAF76
Keurig Dr Pepper Inc.,USD,01.05.2030,"3,200%",US49271VAJ98
Keurig Dr Pepper Inc.,USD,01.05.2050,"3,800%",US49271VAK61
Keysight Technologies Inc.,USD,30.10.2029,"3,000%",US49338LAF04
Kimberly-Clark Corp.,USD,25.04.2029,"3,200%",US494368BZ58
Kimberly-Clark Corp.,USD,07.02.2050,"2,875%",US494368CA98
Kinder Morgan Inc.,USD,01.03.2028,"4,300%",US49456BAP67
The Korea Development Bank,USD,01.10.2024,"2,125%",US500630CY21
Korea Gas Corp.,USD,21.07.2025,"3,500%",US50066CAJ80
Kreditanstalt für Wiederaufbau,USD,18.04.2036,"0,000%",US500769BR40
Kreditanstalt für Wiederaufbau,JPY,20.06.2037,"2,600%",US500769CG75
Kreditanstalt für Wiederaufbau,USD,08.09.2020,"2,750%",US500769DZ48
Kreditanstalt für Wiederaufbau,USD,25.08.2021,"2,375%",US500769EQ30
Kreditanstalt für Wiederaufbau,USD,25.01.2022,"2,625%",US500769EX80
Kreditanstalt für Wiederaufbau,USD,04.10.2022,"2,000%",US500769FH22
Kreditanstalt für Wiederaufbau,USD,17.01.2023,"2,125%",US500769FK50
Kreditanstalt für Wiederaufbau,USD,01.10.2020,"2,750%",US500769FW98
Kreditanstalt für Wiederaufbau,USD,20.11.2024,"2,500%",US500769GK42
Kreditanstalt für Wiederaufbau,USD,02.05.2025,"2,000%",US500769GQ12
Kreditanstalt für Wiederaufbau,USD,30.11.2020,"1,875%",US500769GU24
Kreditanstalt für Wiederaufbau,USD,15.03.2021,"1,625%",US500769GX62
Kreditanstalt für Wiederaufbau,USD,15.06.2021,"1,500%",US500769GZ11
Kreditanstalt für Wiederaufbau,USD,30.11.2021,"2,000%",US500769HD99
Kreditanstalt für Wiederaufbau,USD,07.03.2022,"2,125%",US500769HF48
Kreditanstalt für Wiederaufbau,USD,15.06.2022,"2,125%",US500769HJ69
Kreditanstalt für Wiederaufbau,USD,15.09.2021,"1,750%",US500769HM98
Kreditanstalt für Wiederaufbau,USD,29.09.2022,"2,000%",US500769HP20
Kreditanstalt für Wiederaufbau,USD,15.12.2020,"1,875%",US500769HQ03
Kreditanstalt für Wiederaufbau,USD,29.12.2022,"2,375%",US500769HR85
Kreditanstalt für Wiederaufbau,USD,03.04.2028,"2,875%",US500769HS68
Kreditanstalt für Wiederaufbau,USD,12.04.2021,"2,625%",US500769HU15
Kreditanstalt für Wiederaufbau,USD,15.07.2020,"2,750%",US500769HV97
Kreditanstalt für Wiederaufbau,USD,28.02.2024,"2,625%",US500769HX53
Kreditanstalt für Wiederaufbau,CAD,07.02.2022,"2,000%",US500769HY37
Kreditanstalt für Wiederaufbau,USD,15.02.2022,"2,500%",US500769HZ02
Kreditanstalt für Wiederaufbau,USD,24.03.2021,"2,375%",US500769JA33
Kreditanstalt für Wiederaufbau,USD,22.08.2022,"1,750%",US500769JB16
Kreditanstalt für Wiederaufbau,USD,14.09.2029,"1,750%",US500769JD71
Kreditanstalt für Wiederaufbau,USD,15.02.2023,"1,625%",US500769JE54
Kraft Heinz Foods Co.,USD,04.06.2042,"5,000%",US50076QAE61
Kraft Heinz Foods Co.,USD,26.01.2039,"6,875%",US50076QAR74
Kraft Heinz Foods Co.,USD,06.06.2022,"3,500%",US50076QAZ90
Kraft Heinz Foods Co.,USD,01.06.2046,"4,375%",US50077LAB27
Kraft Heinz Foods Co.,USD,01.06.2026,"3,000%",US50077LAD82
Kraft Heinz Foods Co.,USD,15.07.2025,"3,950%",US50077LAK26
Kraft Heinz Foods Co.,USD,15.07.2035,"5,000%",US50077LAL09
Kraft Heinz Foods Co.,USD,15.07.2045,"5,200%",US50077LAM81
Kraft Heinz Foods Co.,USD,15.06.2023,"4,000%",US50077LAS51
Kraft Heinz Foods Co.,USD,30.01.2029,"4,625%",US50077LAT35
The Kroger Co.,USD,15.04.2022,"3,400%",US501044CQ29
The Kroger Co.,USD,01.02.2047,"4,450%",US501044DG38
The Kroger Co.,USD,15.01.2029,"4,500%",US501044DL23
The Kroger Co.,USD,15.01.2049,"5,400%",US501044DM06
The Kroger Co.,USD,15.01.2050,"3,950%",US501044DN88
L Brands Inc.,USD,01.02.2028,"5,250%",US501797AN49
L Brands Inc.,USD,15.01.2027,"6,694%",US501797AQ79
L3 Technologies Inc.,USD,15.06.2023,"3,850%",US502413BF32
L3 Technologies Inc.,USD,15.06.2028,"4,400%",US502413BG15
Laboratory Corp. of America Holdings,USD,01.02.2025,"3,600%",US50540RAQ56
Lam Research Corp.,USD,15.03.2026,"3,750%",US512807AS72
Lam Research Corp.,USD,15.03.2049,"4,875%",US512807AT55
Lam Research Corp.,USD,15.03.2029,"4,000%",US512807AU29
Landwirtschaftliche Rentenbank,USD,13.01.2025,"2,000%",US515110BN30
Landwirtschaftliche Rentenbank,USD,10.06.2025,"2,375%",US515110BP87
Landwirtschaftliche Rentenbank,USD,06.12.2021,"2,000%",US515110BS27
Landwirtschaftliche Rentenbank,USD,15.11.2027,"2,500%",US515110BT00
Landwirtschaftliche Rentenbank,USD,14.11.2023,"3,125%",US515110BV55
Landwirtschaftliche Rentenbank,USD,24.09.2021,"1,750%",US515110BW39
Landwirtschaftliche Rentenbank,USD,27.05.2025,"0,500%",US515110BX12
Lazard Group LLC,USD,01.03.2027,"3,625%",US52107QAH83
Eli Lilly and Company,USD,15.05.2027,"3,100%",US532457BP26
Eli Lilly and Company,USD,15.03.2039,"3,875%",US532457BS64
Eli Lilly and Company,USD,15.03.2049,"3,950%",US532457BT48
Eli Lilly and Company,USD,15.03.2059,"4,150%",US532457BU11
Eli Lilly and Company,USD,15.03.2029,"3,375%",US532457BV93
Eli Lilly and Company,USD,15.05.2050,"2,250%",US532457BY33
L Brands Inc.,USD,15.02.2022,"5,625%",US532716AU19
Lloyds Banking Group PLC,USD,11.01.2022,"3,000%",US53944YAC75
Lockheed Martin Corp.,USD,01.03.2035,"3,600%",US539830BC24
Lockheed Martin Corp.,USD,01.03.2045,"3,800%",US539830BD07
Lockheed Martin Corp.,USD,01.03.2025,"2,900%",US539830BE89
Lockheed Martin Corp.,USD,15.06.2030,"1,850%",US539830BP37
Lockheed Martin Corp.,USD,15.06.2050,"2,800%",US539830BQ10
Lowe's Companies Inc.,USD,03.05.2027,"3,100%",US548661DP97
Lowe's Companies Inc.,USD,03.05.2047,"4,050%",US548661DQ70
Lowe's Companies Inc.,USD,15.04.2030,"4,500%",US548661DU82
Lowe's Companies Inc.,USD,15.04.2040,"5,000%",US548661DV65
Lowe's Companies Inc.,USD,15.04.2050,"5,125%",US548661DW49
MPLX L.P.,USD,15.04.2038,"4,500%",US55336VAM28
MPLX L.P.,USD,15.04.2048,"4,700%",US55336VAN01
MPLX L.P.,USD,15.04.2058,"4,900%",US55336VAP58
MPLX L.P.,USD,15.03.2023,"3,375%",US55336VAQ32
MPLX L.P.,USD,15.03.2028,"4,000%",US55336VAR15
MPT Operating Partnership L.P./MPT Finance Corp.,USD,15.10.2027,"5,000%",US55342UAH77
Macquarie Group Ltd.,USD,14.01.2021,"6,250%",US55608KAD72
Macquarie Group Ltd.,USD,28.11.2023,"3,189%",US55608KAH86
Macquarie Group Ltd.,USD,15.01.2030,"5,033%",US55608KAP03
Macquarie Bank Ltd.,USD,17.10.2022,"2,100%",US55608RBC34
Macquarie Bank Ltd.,USD,22.01.2025,"2,300%",US55608RBE99
Macquarie Bank Ltd.,USD,10.06.2025,"4,875%",US55608YAB11
Macy's Retail Holdings Inc.,USD,15.01.2022,"3,875%",US55616XAF42
Macy's Retail Holdings Inc.,USD,01.09.2023,"4,375%",US55616XAK37
Magna International Inc.,USD,15.06.2030,"2,450%",US559222AV67
"Manitoba, Provinz",USD,14.05.2024,"3,050%",US563469UD51
Marathon Oil Corp.,USD,01.10.2037,"6,600%",US565849AE68
Marathon Oil Corp.,USD,01.06.2025,"3,850%",US565849AL02
Marathon Oil Corp.,USD,01.06.2045,"5,200%",US565849AM84
Marathon Petroleum Corp.,USD,15.09.2054,"5,000%",US56585AAJ16
Marriott International Inc.,USD,08.03.2021,"0,967%",US571900BA65
Marriott International Inc.,USD,15.04.2024,"3,600%",US571900BB49
Marriott International Inc.,USD,15.10.2020,"3,375%",US571903AL78
Marriott International Inc.,USD,03.10.2022,"2,125%",US571903BC60
Marriott International Inc.,USD,01.05.2025,"5,750%",US571903BD44
Masco Corp.,USD,15.05.2047,"4,500%",US574599BM79
Mastercard Inc.,USD,01.04.2024,"3,375%",US57636QAB05
Mastercard Inc.,USD,26.02.2028,"3,500%",US57636QAJ31
Mastercard Inc.,USD,26.02.2048,"3,950%",US57636QAK04
Mastercard Inc.,USD,01.06.2049,"3,650%",US57636QAL86
Mastercard Inc.,USD,01.06.2029,"2,950%",US57636QAM69
Mastercard Inc.,USD,03.03.2025,"2,000%",US57636QAN43
Mastercard Inc.,USD,26.03.2030,"3,350%",US57636QAP90
Mastercard Inc.,USD,26.03.2050,"3,850%",US57636QAQ73
Mastercard Inc.,USD,26.03.2027,"3,300%",US57636QAR56
McDonald's Corp.,USD,15.10.2037,"6,300%",US58013MEC47
McDonald's Corp.,USD,01.03.2038,"6,300%",US58013MEF77
McDonald's Corp.,USD,15.01.2022,"2,625%",US58013MEM29
McDonald's Corp.,USD,15.02.2042,"3,700%",US58013MEN02
McDonald's Corp.,USD,01.05.2043,"3,625%",US58013MER16
McDonald's Corp.,USD,10.06.2024,"3,250%",US58013MES98
McDonald's Corp.,USD,26.05.2025,"3,375%",US58013MEU45
McDonald's Corp.,USD,26.05.2045,"4,600%",US58013MEV28
McDonald's Corp.,USD,09.12.2020,"2,750%",US58013MEX83
McDonald's Corp.,USD,30.01.2026,"3,700%",US58013MEY66
McDonald's Corp.,USD,09.12.2035,"4,700%",US58013MEZ32
McDonald's Corp.,USD,09.12.2045,"4,875%",US58013MFA71
McDonald's Corp.,USD,01.03.2027,"3,500%",US58013MFB54
McDonald's Corp.,USD,01.03.2047,"4,450%",US58013MFC38
McDonald's Corp.,USD,01.04.2023,"3,350%",US58013MFE93
McDonald's Corp.,USD,01.04.2028,"3,800%",US58013MFF68
McDonald's Corp.,USD,01.09.2048,"4,450%",US58013MFH25
McDonald's Corp.,USD,01.09.2029,"2,625%",US58013MFJ80
McDonald's Corp.,USD,01.09.2049,"3,625%",US58013MFK53
McDonald's Corp.,USD,01.09.2025,"1,450%",US58013MFL37
McDonald's Corp.,USD,01.03.2030,"2,125%",US58013MFM10
McDonald's Corp.,USD,01.07.2025,"3,300%",US58013MFN92
McDonald's Corp.,USD,01.07.2027,"3,500%",US58013MFP41
McDonald's Corp.,USD,01.07.2030,"3,600%",US58013MFQ24
McDonald's Corp.,USD,01.04.2050,"4,200%",US58013MFR07
Mercer International Inc.,USD,15.01.2025,"7,375%",US588056AY72
Merck & Co. Inc.,USD,15.09.2022,"2,400%",US589331AT41
Merck & Co. Inc.,USD,15.01.2021,"3,875%",US58933YAA38
Merck & Co. Inc.,USD,18.05.2023,"2,800%",US58933YAF25
Merck & Co. Inc.,USD,18.05.2043,"4,150%",US58933YAJ47
Merck & Co. Inc.,USD,10.02.2022,"2,350%",US58933YAQ89
Merck & Co. Inc.,USD,10.02.2025,"2,750%",US58933YAR62
Merck & Co. Inc.,USD,10.02.2045,"3,700%",US58933YAT29
Merck & Co. Inc.,USD,07.03.2024,"2,900%",US58933YAU91
Merck & Co. Inc.,USD,07.03.2039,"3,900%",US58933YAV74
Merck & Co. Inc.,USD,07.03.2049,"4,000%",US58933YAW57
Merck & Co. Inc.,USD,07.03.2029,"3,400%",US58933YAX31
Merck & Co. Inc.,USD,24.02.2026,"0,750%",US58933YAY14
Merck & Co. Inc.,USD,24.06.2030,"1,450%",US58933YAZ88
Merck & Co. Inc.,USD,24.06.2040,"2,350%",US58933YBA29
Merck & Co. Inc.,USD,24.06.2050,"2,450%",US58933YBB02
MetLife Inc.,USD,10.04.2024,"3,600%",US59156RBH03
Metropolitan Life Global Funding I,USD,15.09.2021,"1,950%",US59217HAZ01
Metropolitan Life Global Funding I,USD,18.12.2026,"3,450%",US59217HBB24
Metropolitan Life Global Funding I,USD,08.04.2022,"2,650%",US59217HBH93
Microsoft Corp.,USD,01.10.2020,"3,000%",US594918AH79
Microsoft Corp.,USD,08.02.2021,"4,000%",US594918AL81
Microsoft Corp.,USD,08.02.2041,"5,300%",US594918AM64
Microsoft Corp.,USD,15.11.2022,"2,125%",US594918AQ78
Microsoft Corp.,USD,15.11.2042,"3,500%",US594918AR51
Microsoft Corp.,USD,01.05.2023,"2,375%",US594918AT18
Microsoft Corp.,USD,01.05.2043,"3,750%",US594918AU80
Microsoft Corp.,USD,15.12.2023,"3,625%",US594918AW47
Microsoft Corp.,USD,12.02.2025,"2,700%",US594918BB90
Microsoft Corp.,USD,12.02.2055,"4,000%",US594918BE30
Microsoft Corp.,USD,03.11.2020,"2,000%",US594918BG87
Microsoft Corp.,USD,03.11.2022,"2,650%",US594918BH60
Microsoft Corp.,USD,03.11.2025,"3,125%",US594918BJ27
Microsoft Corp.,USD,03.11.2035,"4,200%",US594918BK99
Microsoft Corp.,USD,08.08.2021,"1,550%",US594918BP86
Microsoft Corp.,USD,08.08.2023,"2,000%",US594918BQ69
Microsoft Corp.,USD,08.08.2026,"2,400%",US594918BR43
Microsoft Corp.,USD,08.08.2046,"3,700%",US594918BT09
Microsoft Corp.,USD,08.08.2056,"3,950%",US594918BU71
Microsoft Corp.,USD,06.02.2022,"2,400%",US594918BW38
Microsoft Corp.,USD,06.02.2024,"2,875%",US594918BX11
Microsoft Corp.,USD,06.02.2027,"3,300%",US594918BY93
Microsoft Corp.,USD,06.02.2037,"4,100%",US594918BZ68
Microsoft Corp.,USD,06.02.2047,"4,250%",US594918CA09
Microsoft Corp.,USD,06.02.2057,"4,500%",US594918CB81
Microsoft Corp.,USD,01.06.2050,"2,525%",US594918CC64
Microsoft Corp.,USD,01.06.2060,"2,675%",US594918CD48
Micron Technology Inc.,USD,06.02.2024,"4,640%",US595112BL65
Micron Technology Inc.,USD,06.02.2026,"4,975%",US595112BM49
Micron Technology Inc.,USD,06.02.2029,"5,327%",US595112BN22
Micron Technology Inc.,USD,15.02.2030,"4,663%",US595112BQ52
Micron Technology Inc.,USD,24.04.2023,"2,497%",US595112BR36
Mitsubishi UFJ Financial Group Inc.,USD,01.03.2021,"2,950%",US606822AA24
Mitsubishi UFJ Financial Group Inc.,USD,22.02.2022,"1,278%",US606822AK06
Mitsubishi UFJ Financial Group Inc.,USD,22.02.2022,"2,998%",US606822AL88
Mitsubishi UFJ Financial Group Inc.,USD,22.02.2027,"3,677%",US606822AN45
Mitsubishi UFJ Financial Group Inc.,USD,11.09.2028,"4,050%",US606822BC70
Mitsubishi UFJ Financial Group Inc.,USD,07.03.2039,"4,153%",US606822BE37
Mizuho Financial Group Inc.,USD,13.09.2021,"2,273%",US60687YAE95
Mizuho Financial Group Inc.,USD,13.09.2021,"1,453%",US60687YAF60
Mizuho Financial Group Inc.,USD,13.09.2026,"2,839%",US60687YAG44
Mizuho Financial Group Inc.,USD,28.02.2022,"1,311%",US60687YAJ82
Mizuho Financial Group Inc.,USD,11.09.2022,"2,601%",US60687YAL39
Mizuho Financial Group Inc.,USD,12.09.2022,"1,194%",US60687YAN94
Mizuho Financial Group Inc.,USD,13.09.2025,"2,555%",US60687YAZ25
Mizuho Financial Group Inc.,USD,13.09.2030,"2,869%",US60687YBA64
Mizuho Financial Group Inc.,USD,13.09.2023,"1,163%",US60687YBB48
Molson Coors Beverage Co.,USD,01.05.2022,"3,500%",US60871RAC43
Molson Coors Beverage Co.,USD,01.05.2042,"5,000%",US60871RAD26
Mondelez International Inc.,USD,07.05.2028,"4,125%",US609207AM78
Mondelez International Inc.,USD,07.05.2023,"3,625%",US609207AQ82
Mondelez International Inc.,USD,13.02.2026,"3,625%",US609207AR65
Mondelez International Inc.,USD,13.04.2023,"2,125%",US609207AS49
Mondelez International Inc.,USD,04.05.2025,"1,500%",US609207AU94
Monsanto Co.,USD,15.07.2021,"2,750%",US61166WAT80
Monsanto Co.,USD,15.07.2024,"3,375%",US61166WAU53
Monsanto Co.,USD,15.04.2025,"2,850%",US61166WAW10
Morgan Stanley,USD,24.11.2025,"5,000%",US6174467X10
Morgan Stanley,USD,08.09.2026,"4,350%",US6174467Y92
Morgan Stanley,USD,23.07.2025,"4,000%",US6174468C63
Morgan Stanley,USD,24.03.2051,"5,597%",US6174468N29
Morgan Stanley,USD,01.04.2031,"3,622%",US6174468P76
Morgan Stanley,USD,28.04.2026,"2,188%",US6174468Q59
Morgan Stanley,USD,08.05.2024,"1,667%",US61744YAG35
Morgan Stanley,USD,19.05.2022,"2,750%",US61744YAH18
Morgan Stanley,USD,23.01.2023,"3,125%",US61744YAN85
Morgan Stanley,USD,22.04.2039,"4,457%",US61744YAR99
Morgan Stanley,USD,25.02.2023,"3,750%",US61746BDJ26
Morgan Stanley,USD,21.04.2021,"2,500%",US61746BEA08
Morgan Stanley,USD,24.10.2023,"2,420%",US61746BEC63
Morgan Stanley,USD,17.11.2021,"2,625%",US61746BED47
Morgan Stanley,USD,20.01.2022,"2,315%",US61746BEE20
Morgan Stanley,USD,20.01.2027,"3,625%",US61746BEF94
Morgan Stanley,USD,22.01.2047,"4,375%",US61746BEG77
Morgan Stanley,USD,22.05.2023,"4,100%",US61747YDU64
Morgan Stanley,USD,01.11.2022,"4,875%",US6174824M37
Morgan Stanley,USD,24.07.2042,"6,375%",US617482V925
Morgan Stanley,USD,27.07.2026,"3,125%",US61761J3R84
Morgan Stanley,USD,23.04.2027,"3,950%",US61761JZN26
Motorola Solutions Inc.,USD,01.09.2044,"5,500%",US620076BE80
Murphy Oil Corp.,USD,01.12.2027,"5,875%",US626717AM42
Nabors Industries Inc.,USD,01.02.2025,"5,750%",US62957HAF29
Nasdaq Inc.,USD,28.04.2050,"3,250%",US63111XAB73
National Australia Bank Ltd. [New York Branch],USD,23.07.2020,"2,625%",US63254AAL26
National Australia Bank Ltd. [New York Branch],USD,10.01.2022,"2,800%",US63254AAU25
National Australia Bank Ltd.,USD,10.12.2020,"4,375%",US6325C1BJ78
National Australia Bank Ltd.,USD,10.01.2022,"2,201%",US6325C1CK33
Netflix Inc.,USD,01.03.2024,"5,750%",US64110LAG14
Netflix Inc.,USD,15.02.2022,"5,500%",US64110LAJ52
Netflix Inc.,USD,15.11.2026,"4,375%",US64110LAN64
Netflix Inc.,USD,15.04.2028,"4,875%",US64110LAS51
Netflix Inc.,USD,15.11.2028,"5,875%",US64110LAT35
Netflix Inc.,USD,15.05.2029,"6,375%",US64110LAX47
New York Life Global Funding,USD,17.01.2024,"2,900%",US64952XCH26
New York Life Global Funding,USD,22.01.2025,"2,000%",US64952XDG34
Newell Brands Inc.,USD,01.04.2023,"3,850%",US651229AV81
Newell Brands Inc.,USD,01.04.2026,"4,700%",US651229AW64
Newmont Corp.,USD,15.03.2022,"3,500%",US651639AN69
Nextera Energy Capital Holdings Inc.,USD,01.09.2020,"3,342%",US65339KAQ31
NIKE Inc.,USD,01.05.2023,"2,250%",US654106AC78
NIKE Inc.,USD,01.05.2043,"3,625%",US654106AD51
NIKE Inc.,USD,01.11.2026,"2,375%",US654106AF00
NIKE Inc.,USD,01.11.2046,"3,375%",US654106AG82
NIKE Inc.,USD,27.03.2025,"2,400%",US654106AH65
NIKE Inc.,USD,27.03.2027,"2,750%",US654106AJ22
NIKE Inc.,USD,27.03.2030,"2,850%",US654106AK94
NIKE Inc.,USD,27.03.2040,"3,250%",US654106AL77
NIKE Inc.,USD,27.03.2050,"3,375%",US654106AM50
"Nigeria, Bundesrepublik",USD,27.06.2022,"5,625%",US65412AEK43
NISOURCE Inc.,USD,01.02.2045,"5,650%",US65473QBD43
NISOURCE Inc.,USD,15.05.2027,"3,490%",US65473QBE26
Nokia Oyj,USD,15.05.2039,"6,625%",US654902AC90
Nokia Oyj,USD,12.06.2022,"3,375%",US654902AD73
